round,weighted_error,alpha,acc_on_training_data,f1_on_training_data,unweighted_error,noisy_weight,clean_weight,val_acc,val_f1
159,0.8282844372860969,0.6237073614311945,0.8194285714285714,0.8186307944226916,0.8895178571428571,0.7224641369726272,0.27753586302737304,0.7959285714285714,0.7945489833605329
160,0.8340507413300973,0.5826124068713359,0.8195,0.8186803739715005,0.8752321428571429,0.7176206504630978,0.28237934953690225,0.7952857142857143,0.7939255453597764
161,0.8374067120076502,0.5581666254906132,0.8191785714285714,0.8183945045080387,0.8298392857142857,0.7177148271891998,0.2822851728108003,0.7958571428571428,0.7945144160692122
162,0.8264255709742099,0.6367212105361859,0.8198035714285714,0.8189503805563859,0.8875714285714286,0.7185052475116787,0.28149475248832145,0.7936428571428571,0.7922308950660482
163,0.8348796949145388,0.5766112707627824,0.8201607142857142,0.8193321711914491,0.8889107142857143,0.7144463553382376,0.28555364466176236,0.7936428571428571,0.7922102412560362
164,0.8460345348451821,0.4933927222570549,0.81975,0.8189648242557016,0.8535535714285715,0.7140539379935016,0.2859460620064986,0.7933571428571429,0.7919448282304373
165,0.8323048534929394,0.5951735200688202,0.8195,0.8187264327916883,0.8333214285714285,0.7168200833767937,0.2831799166232062,0.7947857142857143,0.7933980446641437
166,0.8363907794335246,0.565609416964785,0.8202321428571429,0.8194829283388139,0.868875,0.7182662589341271,0.28173374106587273,0.7950714285714285,0.7937116963177817
167,0.8338057578241234,0.5843813442649486,0.8205,0.8197103400933722,0.8744821428571429,0.7145774109919015,0.28542258900809847,0.7945714285714286,0.7931231119439576
168,0.873699536005017,0.26315174420384047,0.8205535714285714,0.8197380060845776,0.8672321428571429,0.713013255459727,0.28698674454027284,0.7955,0.7940269867651948
169,0.8613315905858316,0.3708305638223621,0.8206607142857143,0.8199165212533656,0.8616071428571429,0.7148566142522889,0.28514338574771114,0.7953571428571429,0.7939229028112823
170,0.8414525173826473,0.5281491147884176,0.8204107142857143,0.819671417897273,0.9026607142857143,0.7161382558083922,0.28386174419160776,0.7961428571428572,0.7947761201806356
171,0.8272314140555642,0.6310931434706926,0.8205892857142857,0.8198273084696307,0.9074464285714285,0.7118900804363419,0.28810991956365795,0.7963571428571429,0.7949838023571539
172,0.8353067064911167,0.5735105236838056,0.8200892857142857,0.8193463556589116,0.8655892857142857,0.7059217559350426,0.29407824406495753,0.7958571428571428,0.7945550694699961
173,0.8355347454717734,0.571851972946309,0.8198392857142857,0.8191060497533252,0.8628571428571429,0.7046548298185993,0.29534517018140083,0.7957142857142857,0.7944285048408887
174,0.8391767967095656,0.5451088153384707,0.8202857142857143,0.8195270503248547,0.8646071428571429,0.7022006374605755,0.29779936253942463,0.7959285714285714,0.7945674381358573
175,0.849255295836146,0.46845243948278226,0.8210892857142857,0.8203018971650418,0.8645535714285715,0.7010511052390032,0.29894889476099673,0.7959285714285714,0.7945701624027623
176,0.8286852213221969,0.6208868784760564,0.8206964285714285,0.8199836677621576,0.8590714285714286,0.7048418979659086,0.2951581020340913,0.7951428571428572,0.7938653343706326
177,0.8392685810529924,0.5444285683345513,0.8211964285714286,0.8204689770903242,0.7586785714285714,0.7042974320942728,0.29570256790572724,0.7967857142857143,0.7955130366604355
178,0.8368276684540797,0.562413311036899,0.8228392857142857,0.822043521330904,0.885875,0.7129976018675213,0.2870023981324787,0.7989285714285714,0.7975329333966382
