round,weighted_error,alpha,acc_on_training_data,f1_on_training_data,unweighted_error,noisy_weight,clean_weight,val_acc,val_f1
832,0.8890055372146493,0.05830071425259553,0.5071964285714285,0.49506868502417367,0.8802142857142857,,,0.5077142857142857,0.49455427809714436
833,0.8926248328616405,0.03969357079961844,0.5069821428571428,0.4942725970511851,0.926875,,,0.5079285714285714,0.49400522428889426
834,0.8843807010047356,0.08131991939486105,0.5071607142857143,0.4944922085381559,0.8060357142857143,,,0.5075,0.4935459345257778
835,0.8836699154634539,0.0847863448753392,0.5091785714285715,0.49563276348966523,0.8547857142857143,,,0.5094285714285715,0.4948460774003525
836,0.8782713005398914,0.11053191332557333,0.5083214285714286,0.4948124918346508,0.8630714285714286,,,0.5096428571428572,0.49500747564084663
837,0.8911734375600848,0.04722047927794537,0.5083928571428571,0.4945245603516842,0.9086785714285714,,,0.5091428571428571,0.4940684303113171
838,0.8918322482423737,0.04381490201700533,0.508125,0.4953196547046854,0.9178928571428572,,,0.509,0.49514930792155215
839,0.8886567066737181,0.06006586722209972,0.5085535714285714,0.4957097898308061,0.8345892857142857,,,0.5092857142857142,0.4953524551754899
840,0.8926658859890089,0.03947937227165754,0.507875,0.4956099181510102,0.9078035714285714,,,0.5087142857142857,0.49549475906793505
841,0.8919106252541327,0.04340853726066607,0.508125,0.4955845501783777,0.8929464285714286,,,0.5085,0.49487466459021656
842,0.8930762172353222,0.037334460245928236,0.5084642857142857,0.49569176861723935,0.9239285714285714,,,0.5085714285714286,0.4946624130934274
843,0.8895067714202324,0.055755848452115675,0.5083214285714286,0.49539128587784553,0.8892142857142857,,,0.5089285714285714,0.4948266907484073
844,0.8867839330715754,0.06946065366187937,0.5078214285714285,0.4958149101990973,0.887875,,,0.5084285714285715,0.49533287302639845
845,0.8859563518310352,0.07356907301700577,0.5084821428571429,0.4965910875938763,0.8656785714285714,,,0.5096428571428572,0.49678668334912884
846,0.8892838047202434,0.05688914010044299,0.5077142857142857,0.49514788366880047,0.8595357142857143,,,0.5082142857142857,0.4947002313574377
847,0.8861546119778057,0.0725872093895521,0.5076071428571428,0.49573963913447966,0.8542321428571429,,,0.509,0.49630811117743434
848,0.8912921432593675,0.04660819589947085,0.507,0.4945290626457776,0.8939642857142858,,,0.5084285714285715,0.49522224090218553
849,0.8926913502249865,0.03934647401993141,0.5072857142857143,0.49442997065890015,0.9221607142857143,,,0.5085,0.49477332342656427
850,0.8887256766470286,0.05971724933553135,0.507375,0.494467962527448,0.8767321428571428,,,0.5086428571428572,0.49488495632182516
851,0.8882932645160135,0.06189982002823702,0.5068571428571429,0.4944668648388948,0.9355357142857142,,,0.5075,0.4942469166914864
852,0.8907650434249884,0.04932250587035836,0.5069285714285714,0.4953069613877637,0.9198392857142857,,,0.5075,0.4950480747288263
853,0.8895756832885987,0.05540517915131127,0.506625,0.4950346126773703,0.8588214285714286,,,0.5071428571428571,0.49470678821437347
854,0.893396229379214,0.035656635869826925,0.5067678571428571,0.4949543691672968,0.8937678571428571,,,0.5064285714285715,0.49385187278266524
855,0.8898776303078509,0.053866408661315646,0.506625,0.494471830722751,0.87125,,,0.5061428571428571,0.49323021257498506
856,0.8911303204112866,0.04744273214927186,0.5063392857142858,0.4943104902761927,0.8995535714285714,,,0.5067857142857143,0.49399575102767557
857,0.89431734103247,0.030802359002120028,0.5064285714285715,0.49455103476134044,0.903,,,0.5060714285714286,0.4932443911526107
858,0.8858181786087431,0.07425248307298049,0.50625,0.4943851414497063,0.8722321428571429,,,0.5057142857142857,0.4928491557080673
859,0.8889047740803799,0.05881109401575113,0.5069642857142858,0.49588242671604565,0.8640892857142857,,,0.5065714285714286,0.49432486788163565
860,0.8863451736621909,0.0716420660738386,0.5072321428571429,0.4957510818167942,0.9078035714285714,,,0.5065,0.49390166756175724
861,0.889760547124705,0.05446352160249446,0.5064464285714285,0.49456386807066466,0.9230357142857143,,,0.5055714285714286,0.4927230358462872
862,0.8920984992986231,0.04243340302923215,0.5061964285714285,0.4940701278596321,0.8959285714285714,,,0.5055714285714286,0.49250853891765695
863,0.8916103972232319,0.04496374182263141,0.506375,0.49388625827239385,0.9219642857142857,,,0.5062142857142857,0.49282029109484843
864,0.8857633414956411,0.07452350985459777,0.5063035714285714,0.4938023781345226,0.8099821428571429,,,0.5061428571428571,0.4927819364601988
865,0.8906325445969604,0.05000300295753446,0.5054642857142857,0.4923028472031148,0.917125,,,0.5065714285714286,0.4922434612057914
866,0.8907455727345894,0.04942255022642583,0.5049464285714286,0.49191387968863937,0.9254107142857143,,,0.5057142857142857,0.4914456888560568
867,0.8863676964229115,0.0715302669557849,0.5050357142857143,0.4920593940321337,0.89375,,,0.5054285714285714,0.49131037896887275
868,0.892615395558747,0.03974280062462476,0.5038571428571429,0.4918018760940499,0.8950535714285714,,,0.5043571428571428,0.49123564979860335
869,0.8879587696282509,0.0635830989462387,0.50475,0.4926619575223833,0.8679285714285714,,,0.5042142857142857,0.49112090493089494
870,0.8871700654290694,0.0675347818140013,0.5047142857142857,0.492763547448002,0.9054285714285715,,,0.505,0.49208535744316856
871,0.8879451471736167,0.06365155811718326,0.5048392857142857,0.4922751980955047,0.9154285714285715,,,0.5047142857142857,0.49112705252675737
872,0.8914800574876898,0.04563773397330584,0.505375,0.49266275383100167,0.9541607142857143,,,0.5053571428571428,0.4916807619432335
873,0.8930220850972915,0.037617837896540385,0.5055357142857143,0.49281680297230057,0.8945357142857143,,,0.5055714285714286,0.49186837202644274
874,0.8939547537764518,0.03271763431718333,0.5056071428571428,0.49378416442725337,0.9068571428571428,,,0.5052142857142857,0.4922881903665021
875,0.8943715374374657,0.03051558265933374,0.5056607142857142,0.49389600305594017,0.8996428571428572,,,0.5057857142857143,0.49288346322687265
876,0.885996655964954,0.07336959132460441,0.5059464285714286,0.494099876920209,0.8433035714285714,,,0.506,0.49314440586880026
877,0.8892839273558341,0.05688851731965605,0.5062678571428572,0.49439943202909287,0.8981607142857143,,,0.5060714285714286,0.4931833402488065
878,0.8923891495846727,0.04092187823848237,0.5057678571428571,0.493619503051179,0.8897678571428571,,,0.5060714285714286,0.492859575169844
879,0.887143489262898,0.06766751712800478,0.5058928571428571,0.49449179455122927,0.8909107142857143,,,0.5062142857142857,0.49392050516302166
